channelid,categoryid,subscribercount
UCDGmIjVK68ULRQnyUAoGgAw,24,68
UCzhdUe_X8bCbFvNSeQUIFng,24,2692
UCrJDNlUPWtPSu6kmDPnTyJQ,24,189
UCj0QsxcE_JRu1YstIIF76og,24,3982
UCy9HnNMLyRz_MiO_nOhhijw,26,328
UCqheS9rd4_nojHk3H-FR2XQ,20,941025
UCu4CLugrCWnpB7iDHDR3akw,24,302
UCVqctw_4onzfN_wnOgQKYXw,10,175
UCOjw-GX9DMmEPn43eprY5gw,28,23747
UCRz0xsWzleLU3EOyKu7L-lg,22,0
UCJnc3w9sBoozXP5RQ15CBRg,1,75
UC98Hk0dfZPYiZUPJY3IVUMA,17,610
UCixInvC05-KR6pvhqg_sZSQ,17,3080
UC6OQnvhRoWwMZGscP-XUYCA,20,340
UCDZyIwZMkRtb8IP3Mbwl8zw,24,247
UC8P_gJ6aCVv51J75v-JA27g,20,6901
UCgjMHGQ2asROtNWhAu5MBuQ,20,46441
UCbKhummQreunNafJALxRp5g,27,24
UC41lvjrDswwUc7X4d80bA2w,23,220703
UCgqx_CBOTiv8U_mk56DrEig,17,16
UC2gzLahvy-zwTV9AwNdhZgw,17,292
UCfQKqzsyvHYiajiyrgpzSqQ,19,8
UCbzEcb-FnsprBRyYuuWDaEA,2,32
UCteJOOR438YLzNCNBnEYBLg,22,0
UCL7L9Dl__Pr32JFU7V4u5hw,17,54
UCrgoTjEg8Ig9uqzZBXkUcpw,27,3224
UCoNKUzSql4qUXaMa0qwwWIA,20,10
UCxoBONIH2g_i4NKZIiyoPJw,17,9
UCxYzDgQE1KxmU0lpPNnC0gw,10,3040
UCPJgYyZfwCBkv222WYCN3Qw,19,2
UCK9-jd6Vv_f5xgoLE31e12g,10,1130
UC6ciUUMRms4L-LLz9LKfdrQ,24,5300
UCGXROVmHl6iJtO67vv8TS4A,2,3
UCj_YB3cKoTAWwXWj_HikxQw,22,409
UCJRMOYY6Tf_w2yQ_6jGZXmg,17,109817
UCkENYw0PRQdwo6mV2nMDONQ,25,1567
UCl2nBtaD20xnQhSoGmD25WQ,17,75
UCh_K4-2-Quf55BA8aMoDQ_w,26,33553
UCbu2SsF-Or3Rsn3NxqODImw,20,2803750
UC6ffr2IsErZIv03eqp4V_Zw,15,70
UCiEx-V0EAgaR6EGcMe9TSDA,10,281
UCT1XviyXCuYgG2D6m97Pa0A,10,0
UCJo3iU_2Ji6Q6aTieypJOnQ,10,156
UCRlNuNXnK8W6i9wkb6Da1WA,1,454
UCFh-pzkzGa200ZkEHmNQPxA,1,308
UCBqoK_z14RmvqEU-Jo_VicA,17,2
UC5ikmAX8WAoIdPgB9OrSrzw,20,269
UC6EuztGj-iEgpPx3XaTrFPg,24,309
UC6W76RWijOhx3dY9Ja2UigA,2,182
UCedDv5zYKS5naBCRuv3M_ag,26,2620
UCk1OsvdPasZXHL56x-oBIwg,17,11
UCRABCYIg89ns2-FIEzRIldQ,22,2049
UCwQqeblRMlew5AzrKHseLuQ,22,35
UCEOKTdgjA4fGPC0slR34J7A,10,71
UCKPrGrzWHmHcmJwdm5BoJ9g,22,279
UC8faoPBqt4LQBymT8RNUo7w,28,1526
UCSW2Lz7uZgAV13FZQdCtWYw,22,66152
UCWB-YmICnslQBDcEE9m_SUQ,1,1
UCwcrUeljc2qpkEd6xqvoC4A,10,106
UCYIkDsYBOSp43OkU-kdW25w,28,1332
UCBWI-ynROTl_jNeHTRPnI7A,10,375
UCK4jWIPKlmyUyoL5jbe1puA,10,120
UCgYLm7Oa-SowtuvSa8izWBQ,24,104834
UCxvXBzkL4s5HMfy0khkatOg,27,0
UCyS-uQd1h_s3srTqt-liylg,17,7
UCGNuA2Fg8X0frfChEhJrHdQ,10,1478
UCLO_71CwJqM2MhVLxhpoL8g,1,12360
UCAwfXm7ZmoQT5fYhbBjGXvg,24,6
UC_ZY4lz9zqJcrBfBmFf-_nA,24,14
UCxc9rx9oY5MWO7C8XuUIONg,10,7123
UC5tU6DGXITzcDpqBqNzXdJw,22,29450
UCZFVipGKYQxwwAOYwiIMEyA,24,52817
UCym_ErZsNpqkrdAvDgspoGA,25,296
UC40NTfiV3DMsUbneF6HH53Q,10,0
UCSYbLCirM4rm85Xj7fGD-Ig,2,204
UCFdEMYmiimq2uKmOMaBfPLg,25,22324
UCR9sm7yi5rvVsTJuzC2qn_Q,22,34
UCN_Uniubnrgb2YmgRvDYJIQ,17,36
UCKXiSBmhHe-ZFJwFokAcO2A,22,355
UCOIQrwCGTj_3hdewlVuqdxQ,10,17036
UCAxtwo9BaGFtDYO4fOyS2qg,22,19566
UC4Q34bijQU84lX-I8ahvIEw,28,909
UCDO9YkkFuuz9iGe2XIhYwhg,26,34973
UC7GsR6NwKEy8SmDKRtXdIZw,22,75834
UCWkkE6ObowGRcCywNsw2C1g,22,797
UC1AaN96kgESTBy36Nfaj8tQ,1,642
UCXPsEBU_BHCMLpGh2Uh2_NA,17,979
UCJkjyDU_oEMvsSk7ql5FMOg,20,1166
UCCz7LA2yhTOwHTcTgwv37Pg,25,3651
UCKFrD1MP7HtFARafErJs2eg,26,1285
UCbG4ZYJ1AAZlSbGRDHUP1YQ,26,0
UCWIlNOmXhGHXnmZjkAICJXQ,1,6003
UCkeQp-ClM7FAVSu_WFPYg0A,10,893
UCzy7ETKU4ZQStaJqnf9QDhA,10,1118
UCGYCFw-RMJpylPQsTEVzLfw,24,0
UCPzHmCs_KfWtYWyvEMgn-Bw,19,885
UC4O12pQmRJAyR_GPmAGu1pQ,24,164131
UCSVgcUvTHfm04KLfO-1ijow,27,152
UCdGYCsxWgEHdpR0ayUop-gA,1,458
UC_3tWe0VJmm2W0_mX0Lr2vA,22,0
UCWaqnXjOAswBNh5p-aqjtgw,22,92
UC5pHsEgqldVaoiaWgVuKqFQ,17,0
UCGO8yBktFX2PjDsh8BZ1U5w,24,325
UCsDb4OCZahFOGTEIflJ5l9w,24,21
UCLpJ_RriBKixFEv-oXXqhfw,10,74
UCR63NSVAXOhuOThmjiglH4Q,10,1433
UCtpXCdPZZpN_9dE8tZe6Avg,22,8
UCjCCIO9WUKbVXCUMK2FRwzQ,22,3
UCJEPf8YzOQVDDkw1f886jXg,22,95534
UCQ6y-mdce53kwAwsvVd8A9Q,28,6118
UCT6PN1pkGMdUVZSCUdX4P9A,24,792
UC5H8iioT8qY9Jl02SoMsWCw,20,36866
UCKtHI2QDc5vC5Lawtnh-Mvw,22,47
UClae0X8wy1MN9E7-2WaQncQ,20,6446
UCVrNPLdPj-FqkRmrDmFNyaw,10,137
UCylLFgHKGVyDPp1Z5J3NUwQ,1,9
UCnSUAPGgau9NJc8KrDFSpJA,24,2764
UC1JBVquh7RKomHhsevSP2jQ,17,3411
UC_PzRdpPeVf6ddzGW4W2gig,26,359
UCJLUHIhxU3bOu_EcPFyMyhA,10,6
UCVCd0Dw5PDTCwimmecTOiww,17,7732
UCCsFejxbviSj4fzaD1LPJbg,10,1353
UCMG4zaQpqs7c15Oj__JgbRw,22,473
UCm8Gg6SGUcBsgErqNuBX5KQ,22,1
UC2D4uy1mnE98DJP5s1vzn-Q,17,19
UCSeB1BLJzvsEuInHsXqxEUw,26,21
UCsQGy9MZlrT7DBL9tsKamxQ,22,763
UCHZEnEW9SjSNDRU5Yum6qUQ,27,7
UCPuTZ5Rw171KAILaJDwp1wQ,10,238
UCVXVfZ5ryrcp1TgxegnpFBw,24,4254
UCTiL1q9YbrVam5nP2xzFTWQ,25,298194
UC4K9nmnB3-TKJjzwTgxSPoQ,22,4646
UCMhZyW4q91QAzBxhj8IX5vA,24,3108
UChHkr2LeEjwBOHWL75LtvYA,27,2647
UC787mhTiKSh0iE9PBX6pM4g,10,120
UCEideiopjVaxdQsmAQOXyyQ,20,644
UCMUlt5fBuiMx_o3_cbo5PDA,1,736
UCjqakGiLMbvQ8FqWQKXsBkQ,26,2360
UCfvkj-ggeiPT066ByKgg93Q,24,92786
UCo2REL5JgQ3v-QqMb1g1lIw,10,814
UC8bJfF2sVcLW92EcYtQ_Tww,24,48
UCeQf8mZkzUswAL42uQs84iA,17,67640
UCeu7XHEbM_aAGm6xP6Hnorw,10,43988
UCcE5BQzPpX1eAqX_RjIIqBg,22,80
UC6VdHmorTBm6IGFJrLlFuew,22,3593
UCk2hNgDiYwnxGiVKLAbz36w,22,1560
UCuIJWRaLX6yP9A9SsRgxa7A,15,806
UCcbqSG3k30oHXbFs9cDYvWA,10,436
UCxBYHOQINij4SwdRNczoTaw,24,1170
UCLINPbYQ9sy6qc-TqtBeVnw,2,71043
UCcSeeATlWJJbXpOZRYOfaDg,2,78445
UC6lhT3obp7Yf0iQH4wRLVHw,22,36
UC-1g6IDDRsReIMnIJKJcc_Q,20,6
UCTDnFFG76UV07OgvMpmD1Tg,2,46483
UCjhRMHxiHQE7RV36e9JeEQg,17,2
UCAcbfpFAA0k0SPLmZlgWYhA,10,228
UCvMyD8ecaYW5glzQF7dgeaA,24,13
UC_ydRj9p48PgpgSwr5SZ89A,20,1870
UCphz8ckXEvP7AJ6t-Od0qsg,10,1
UCwLn_5lHFrclLEXbS0ogu5g,10,863
UCtpLbWEaULGAPWBAj9L5_DA,24,34
UCVbsDKvlrcjyUD50W3pTzSQ,1,533
UC84xfE6pe7GeX_4RxzYVkOA,24,65
UCDP8SYwrH5oQfxBRo92MODQ,17,5
UC5kC_Ufdjb6-2Eiiakp2G3A,22,155
UCSmS6sWsIZRkBH5p438IUmg,22,13542
UCFSK7Yl9UANJ42kRD5hcaFQ,2,56
UCHKnKNMXGs9gV7ago_cpHMA,10,2217
UC6LA4vk3pMxCkogsGWonIKQ,28,1436
UCHzbTUXnKX2gSr3hvXXjxlQ,26,2342
UCJMQxg81E1HwVuD-5I2C3oQ,10,31
UCVXA6A5S8ZVDDxk99okt83A,17,8403
UCuxuwpbLsno1XGmEWMQNe4Q,27,24
UCYB_7AvhPxs4zl1FbzoJhtA,15,25
UCS8ObvH1f2kNixDfMFsf5_A,10,301
UCECHoIdLDF53V_jrd5nsgvQ,22,111
UCCbc9GxE0TmCoSWqImckHwg,22,143591
UCdh2Jy5YksUCH6GwyxBgogg,15,133
UCSb7YDVK3vGTMfhPqtGmA1w,20,206
UC8Nl48FBZkPnTfmEMVFv2Aw,22,10
UCqLfp0G9bGnQ9J-LEL9kYZQ,25,136
UC45lYuHP59jXCqhzNdc-khQ,20,62
UC_eg49ESVr7tnxgA1LdR-4w,15,2
UCbh8eWQ83qZxKkfUbyKEIDA,26,156685
UCBriYsje-d_72dqxHqLtf8Q,27,29848
UCbCL_dS_4KjCJ8NKry0wwJQ,22,674
UCsZeySV9FGu3X9_PN9hpWJA,26,554
UC4di-od7AQJbMyuDO_upb6Q,20,91
UCn6-nwl1LgAjDmGbbR5b_6w,24,29
UChNmE5O9AIC0WJjb9I4rYLg,10,2
UCxkmL8rM9nw-EUW7DbruBSw,26,9995
UCQimPADTui-RZdvBOKqhmOw,1,360
UCA8817rO9pBK7Um7OKG-zkA,26,136
UCzv9126bAWtkrO0qM-usKfA,22,277
UCdz0-84R-w9-bBUII0U_P6w,19,20
UCuWcjpKbIDAbZfHoru1toFg,43,1800896
UCa7LezACJkW0e7RlXo8VfXw,10,6288
UCS6HNpDJeLwmFa8iwdEAQVg,10,8978
UCPeqv6ycK5Sa0Hli0n0wPsg,17,615
UCjvbYiLBW_s9ktY2SIBzHRg,10,1426
UCZHLRbXylR-x2wU-kp65nTA,1,766
UCOyx6C8ct8wI1IFClQC7S3g,20,26
UC2ZB5-Fgacw_0vTp-8gUWUw,29,28
UCXFsqgD5tcqwiRAD9Nw88pQ,22,11
UCTD5RhYO-SNPVWtJZdQoKOw,17,206
UCz_sKjgVE53fvJSkXsZ2F4A,10,358
UCExJ7v6NM74ke48mAKKdcXg,2,7
UCXCM24Hc7T-tdDnBcvyJQgA,1,52
UCYX169KoQ8BveVQ8CIi3mFQ,24,53
UCTv-XvfzLX3i4IGWAm4sbmA,17,1600272
